"RelPath","Ext","SizeBytes","Sha256","Title"
".venv\Lib\site-packages\certifi-2025.11.12.dist-info\top_level.txt",".txt","8","28CBB8BD409FB232EB90F6D235D81D7A44BEA552730402453BFFE723C345EBE5",""
".venv\Lib\site-packages\charset_normalizer-3.4.4.dist-info\entry_points.txt",".txt","65","0034932AB91767786174E5458BA0DC5041D0452D317F10C813FA44CF8C0B2170",""
".venv\Lib\site-packages\charset_normalizer-3.4.4.dist-info\top_level.txt",".txt","19","EC04B2CDE3EBF3FC6E65626C9EA263201B7257CBE1128D30042BF530F4518B74",""
".venv\Lib\site-packages\idna-3.11.dist-info\licenses\LICENSE.md",".md","1541","B7A336ABF3B04E180EC065CDD16E705D079E1CC7A14F910AA6E9187F36B9CD87",""
".venv\Lib\site-packages\mysql_connector_python-9.5.0.dist-info\licenses\LICENSE.txt",".txt","399215","6D1C876CB3A3F8F076D0A1922B69FB4A7824F0E0BF598CA00B6798D30CC57925",""
".venv\Lib\site-packages\mysql_connector_python-9.5.0.dist-info\top_level.txt",".txt","23","78A45802DFD1974AC3FC64DD6ACC14F022B2B4AA68A003F5DF5D9CA443CD6D3D",""
".venv\Lib\site-packages\pip-25.3.dist-info\entry_points.txt",".txt","84","5617FCB34218817DFB9AD778BC62FBDC13DCC5D2A7A9E0853F3079F9DDF4C7CA",""
".venv\Lib\site-packages\pip-25.3.dist-info\licenses\AUTHORS.txt",".txt","11503","1F7D99860167FAAE5BDC101C0D8AAC4B0D0D37B4515581E95A2355347433CC1B",""
".venv\Lib\site-packages\pip-25.3.dist-info\licenses\LICENSE.txt",".txt","1093","634300A669D49AEAE65B12C6C48C924C51A4CDF3D1FF086DC3456DC8BCAA2104",""
".venv\Lib\site-packages\pip-25.3.dist-info\licenses\src\pip\_vendor\cachecontrol\LICENSE.txt",".txt","558","86EEEE87BE2A43F3FF1F56496F451F69243926F025FEDBB033666C304C4C161B",""
".venv\Lib\site-packages\pip-25.3.dist-info\licenses\src\pip\_vendor\dependency_groups\LICENSE.txt",".txt","1099","1AB36E3E2A4BA8631625384F87E9E091DB1FAED034C5B23325B3239ABF2CC525",""
".venv\Lib\site-packages\pip-25.3.dist-info\licenses\src\pip\_vendor\distlib\LICENSE.txt",".txt","14531","808E10C8A6AB8DEB149FF9B3FB19F447A808094606D712A9CA57FEAD3552599D",""
".venv\Lib\site-packages\pip-25.3.dist-info\licenses\src\pip\_vendor\idna\LICENSE.md",".md","1541","A59F0B0EF3635874109A4461CA44FF7A70D50696E814767BFAF721D4C9B0DB0F",""
".venv\Lib\site-packages\pip-25.3.dist-info\licenses\src\pip\_vendor\urllib3\LICENSE.txt",".txt","1115","C37BF186E27CF9DBE9619E55EDFE3CEA7B30091CEB3DA63C7DACBE0E6D77907B",""
".venv\Lib\site-packages\pip\_vendor\cachecontrol\LICENSE.txt",".txt","558","86EEEE87BE2A43F3FF1F56496F451F69243926F025FEDBB033666C304C4C161B",""
".venv\Lib\site-packages\pip\_vendor\dependency_groups\LICENSE.txt",".txt","1099","1AB36E3E2A4BA8631625384F87E9E091DB1FAED034C5B23325B3239ABF2CC525",""
".venv\Lib\site-packages\pip\_vendor\distlib\LICENSE.txt",".txt","14531","808E10C8A6AB8DEB149FF9B3FB19F447A808094606D712A9CA57FEAD3552599D",""
".venv\Lib\site-packages\pip\_vendor\idna\LICENSE.md",".md","1541","A59F0B0EF3635874109A4461CA44FF7A70D50696E814767BFAF721D4C9B0DB0F",""
".venv\Lib\site-packages\pip\_vendor\urllib3\LICENSE.txt",".txt","1115","C37BF186E27CF9DBE9619E55EDFE3CEA7B30091CEB3DA63C7DACBE0E6D77907B",""
".venv\Lib\site-packages\pip\_vendor\vendor.txt",".txt","343","BD540DC5FADFFE73F2FE98D2486925C50556987E61BE1C83B5981BB3319BC3B7",""
".venv\Lib\site-packages\requests-2.32.5.dist-info\top_level.txt",".txt","9","7CC4959877DBE6B6C63A8EB1BFE3BFB545FA8FE5B28B1B2C13E4A7C1C0D1C4D4",""
".venv\Lib\site-packages\urllib3-2.6.3.dist-info\licenses\LICENSE.txt",".txt","1093","130E3A64D5FDD5D096A752694634A7D9DF284469DE86E5732100268041E3D686",""
".venv\Scripts\Activate.ps1",".ps1","9031","EB8CE20F580877D300C4FED60A7F36DAA18715D35C50BB3596D6995D023B4FFE",""
"build_output.txt",".txt","23265","077AE5DE207549FAC23CB3AE5026F2F45AED77AA8D830B292D0386CB34C8C11D",""
"COMPLETE_ALL_ENDPOINTS_RESULTS.json",".json","17345","E9A5D5CF3D7F8E8087CDBE697EFCD9A3DF99B23357EF69EB4DD43145BACED7F1",""
"comprehensive_output.txt",".txt","717","F57EE29E8E8AFD13F226D84A2222DB5D0DD6F929408C9AD83B91AF5FB4EDC8B2",""
"COMPREHENSIVE_TEST_REPORT.md",".md","16979","36C47A32572770C0C36F90E8783EDAA3E0FF5E9F8253861F9505A7317F5C8DA6","Reporte Exhaustivo de Pruebas - TicketsAPI"
"COMPREHENSIVE_TEST_RESULTS.json",".json","9444","9B793428DF803F9743BBE7ED0F09C934ACB3FA4FE5D00BB558A04D2A51BB5F81",""
"CONTINUIDAD_FASE4.md",".md","8861","59EA4554CE2FCA8F0536E80DEE2A9CB8756BEADC5C558CB8BD5D10BF9A1CCEBD","📋 Continuidad del Trabajo - Próximas Iteraciones"
"Database\001_add_refresh_token.sql",".sql","2783","A5C2A4F08B74CAC59E19F3ABDEF9B1218281999166AE508D98313067FB74FEF7",""
"Database\002_create_admin_user.sql",".sql","1687","091BF493490727ADC17753FD69D96CA0A18954DF8CF0920028F4BF9EB99ADD40",""
"Database\fix_stored_procedures.sql",".sql","12620","E352CD5C05AAB87DC434450BEDB71BFB868C1B8A03B4E5AA3785C59117D5AD9D",""
"Database\performance_indexes.sql",".sql","9630","9DCA8E70CCE588164ADAC5162668218B78F0C1661216EE341F26E27451D22B21",""
"Database\setup_admin.sql",".sql","341","56809A8F648E75CE2EF558A84DE5277890FE348D5F24D593C29C60A8090A4FD0",""
"db_audit_cleanup.sql",".sql","4091","37EB6605BF7E51D28B69193BEB5BBFA37F693BE175E4FC7B3B0226616F3F0A82",""
"DbAuditTool\bin\Debug\net6.0\DbAuditTool.deps.json",".json","4691","98ED5BC9591B7EA2CAC3556236DBFA371744E0CC338B96325BC01F919AB99021",""
"DbAuditTool\bin\Debug\net6.0\DbAuditTool.runtimeconfig.json",".json","147","F03C65B081AE722B8C7E574C583688D95EE15B246A6BF5C9A79CB496CBD27583",""
"DbAuditTool\bin\Release\net6.0\DB_AUDIT.json",".json","73194","EE6579C4CF76A7F1729A7E1E1BD5987DD509E926B5704D5EE748CC540E456426",""
"DbAuditTool\bin\Release\net6.0\DbAuditTool.deps.json",".json","4691","98ED5BC9591B7EA2CAC3556236DBFA371744E0CC338B96325BC01F919AB99021",""
"DbAuditTool\bin\Release\net6.0\DbAuditTool.runtimeconfig.json",".json","253","DED3AEB5856A11DB0B654A785574490CAB55839EBFB17EFE9E39B89618FC5B91",""
"DbAuditTool\obj\DbAuditTool.csproj.nuget.dgspec.json",".json","2847","7B27AC9CBFF6586208CAF769D6A0ABE08944924499FC8E7B2E2B12535180294A",""
"DbAuditTool\obj\Debug\net6.0\DbAuditTool.csproj.FileListAbsolute.txt",".txt","2363","795B43C75F748FA0FF01CA78D7F72B909A26326D47D09C74B61307ECE4B11389",""
"DbAuditTool\obj\Debug\net6.0\DbAuditTool.sourcelink.json",".json","168","682CBB4F28498EA3E633FA74392BC6BE84926DC808FBDFCDE02F01A4C475CF55",""
"DbAuditTool\obj\project.assets.json",".json","22681","BD2E672D63687068EA403BBEC5A2B658DACC78663955A5906F2B40BFF722AD8D",""
"DbAuditTool\obj\Release\net6.0\DbAuditTool.csproj.FileListAbsolute.txt",".txt","2409","D39884EE6F98CA0DD350594D5C939FFADC94F4174FA1432BD2F153C849165760",""
"DbAuditTool\obj\Release\net6.0\DbAuditTool.sourcelink.json",".json","168","682A021B0244DB2007CD2C0F137A5EDACEBD35C3D40C83CFA6247833AA406D60",""
"docs\00-INDICE_MAESTRO.md",".md","13656","55020CB2BC50203455720EEF2E502ED59F7806B51095FD54C6B9C37283A201F2","📚 ÍNDICE MAESTRO - DOCUMENTACIÓN TICKETSAPI"
"docs\00-Start\DEVELOPMENT.md",".md","7401","C03FD2DDFF53778F99CB3F3DDA153584A13DF8AC6CF90D6118FB8A86F671A21F","Este archivo documenta el proceso de migración y desarrollo"
"docs\00-Start\EXECUTIVE_SUMMARY.md",".md","6775","4CD1BC506D5055AB6DBFD86DE88D6C3846AEB4826057EE76F81C51788F9C76F9","🎯 RESUMEN EJECUTIVO - TicketsAPI QA Session"
"docs\00-Start\INDICE_RAPIDO.md",".md","5768","08D01933716ACE34619D22479A8A373D8681594913AE4853626A0C31119A2012","🎯 ¿QUÉ DEBO LEER? - ÍNDICE RÁPIDO"
"docs\00-Start\PROJECT_STRUCTURE.md",".md","12516","6B3E6D0CBCF929E1C3925762094F4B46619BF7D177E53D9963E99273D783FCF6","📂 Estructura Completa del Proyecto TicketsAPI"
"docs\00-Start\QUICK_REFERENCE.md",".md","6745","6F82AAB610EA5D713D45895E19261F0F1FF6668F9369D1AE0CAC333C8B800E1D","QUICK REFERENCE - FASE 1"
"docs\00-Start\QUICK_START.md",".md","9832","6BC756E4193F3AC7B256FA290866496C8865DB6E7433C4B9ABBEE473C4DB9CEB","🚀 GUÍA DE INICIO - TicketsAPI"
"docs\00-Start\START_AQUI.md",".md","6061","0B26517B63043B08168523277D3317BA1D3694372569D422FC8F1C4A12E7C928","TicketsAPI - START HERE ⭐"
"docs\01-FASE0\CIERRE_ANALISIS.md",".md","15127","F981E44C7BE13C649AE5EBE0F037C3D2EB7623D894E5E089603172C9D1EE0133","🎉 ANÁLISIS COMPLETO - Cierre de Trabajo Autónomo"
"docs\01-FASE0\FASE_0_CONSOLIDADO.md",".md","9270","D92387C5D40852C1FC040148829A3997E9B4B9C502AB7731434D7D8C3ECEEA0D","FASE 0: ANÁLISIS CONSOLIDADO"
"docs\01-FASE0\FASE_0_MAPEO_SPs_ENDPOINTS.md",".md","18523","4A7FCC491F30592EF9945C7A1AD8A5451E0AB680F0AB7A0D38502F205E2FD985","FASE 0: MAPEO SPs → ENDPOINTS"
"docs\01-FASE0\RESUMEN_FINAL.md",".md","3777","890188CECC2EA435A921DB73E70D7274CAD9F0D58B21A2761E9F57B555455656","📌 RESUMEN FINAL - FASE 0 CONSOLIDADA"
"docs\01-FASE0\TICKETS_API_ANALYSIS.md",".md","21679","27D791A79D4923E8A623510E599DFFE1D422CF538DDF2712B2C08D3690C06CA5","TicketsAPI - Análisis Completo de Permisos, Validaciones y Casos Borde"
"docs\02-FASE1\EJEMPLOS_PRACTICOS_FASE_1.md",".md","21011","0497BF2B7A10ECFDDFA4EDC915266EE1CB07C9792E51C09CF4C79B443F8D7750","Ejemplos Prácticos - FASE 1 API Estandarizada ✅"
"docs\02-FASE1\FASE_1_COMPLETO.md",".md","13830","596987F6716232271FEC0EBBA68544E358433F0C6FC31A5165BC3106EEB42991","FASE 1 - ESTANDARIZACIÓN API ✅ COMPLETADA"
"docs\02-FASE1\FASE_1_ESTANDARIZACION_API.md",".md","21441","44E487546AE56E61E16F169794C6F695584D78FF5F348630F147244FC3EEFAE5","FASE 1: ESTANDARIZACIÓN API ✅ COMPLETADA"
"docs\03-FASE2\FASE_2_COMPLETO.md",".md","10505","74D9107EA3D4DD37BDAE90685FBFB1625D8CA28F98278BAC38288BB7AFB42D39","FASE 2: Unit Tests - COMPLETO ✅"
"docs\03-FASE2\FASE_2_UNIT_TESTS.md",".md","6954","5E5F1B46D75EA88EFA315ABB384AE1CFA4B894A7D5AFE82DEEE0FBE91358BA35","FASE 2: Unit Tests con xUnit"
"docs\04-FASE3\FASE_3_COMPLETO.md",".md","12905","19871F0840C3E97F230ABE9E3FE217A45FBCF5CA721D995353FB9A8439830CB6","FASE 3 - COMPLETA ✅"
"docs\04-FASE3\FASE_3_PLAN.md",".md","10587","913D0E915FB5215175867D195E812C985801BF18B3CE15CD074B5BB90A4B05CF","FASE 3: ENDPOINTS CRÍTICOS Y FUNCIONALIDADES CORE"
"docs\04-FASE3\PRIORIDAD_3_REPORTES_COMPLETO.md",".md","12810","824986E3E2B99173D9AA6492A8FC8A37C7C980E0FE535E1759EF649F33A43C12","FASE 3 - PRIORIDAD 3: Dashboard y Reportes - COMPLETO ✅"
"docs\04-FASE3\PRIORIDAD_4_BUSQUEDA_AVANZADA_COMPLETO.md",".md","16720","ECD26611E182E3BE458EDEAE4247C70DA235BDD6ECFF7E5D5CD4138611C83831","FASE 3 - PRIORIDAD 4: Búsqueda Avanzada Full-Text - COMPLETO ✅"
"docs\04-FASE3\PRIORIDAD_5_OPTIMIZACIONES_COMPLETO.md",".md","15076","E84CDB197F634C7E504416C5A998962B3A3B9D0B02E201F2124C45614213378E","FASE 3 - PRIORIDAD 5: Optimizaciones - COMPLETO ✅"
"docs\10-API\API_EXAMPLES.md",".md","11888","F97E92797ACF611FCE409623881DC14EAC9EDF5ACE7D2DD0BBBFA7DDA1C24923","Ejemplos de Consumo de API"
"docs\10-API\API_INTEGRATION_GUIDE.md",".md","33572","BA50200E8C6387061E530601A23A6B7B56025AAA1DBD03DAAF33FAC4053A11B2","Guía de Integración - TicketsAPI REST"
"docs\10-API\CREATE_TICKET_FIX_REPORT.md",".md","7617","040C87663FD9A9DA5673799021ECAC6CBBDE243BE767C9D304EE74815117ECC3","✅ FIX: POST /Tickets debe usar Stored Procedure sp_agregar_tkt"
"docs\10-API\EDGE_CASES_AND_DISCREPANCIES.md",".md","13866","1ACDC3A9DCC93193C68B921850867507D7ED9DE3AD73BCA483907C5C04E67A48","Discrepancias y Casos Borde Identificados"
"docs\10-API\FIXES_IMPLEMENTADOS.md",".md","8086","160142B8BB5932B190D7477A5A994B16EA666BE64F2C2120598ED7EEBB060353","✅ FIXES IMPLEMENTADOS - AUDITORÍA DE ENDPOINTS"
"docs\20-DB\AUDIT_COMPARISON_REPORT_2026-01-30.md",".md","2845","0D1CEC2E9157888F52FE452E4A5B097BCD5240075D55EE539546FA9D718A8324","Auditoría comparativa BD - TicketsAPI"
